Arrival Date,Min_price
2017-01-06,3400
2017-02-06,3000
2017-03-06,3400
2017-05-06,3400
2017-07-06,3200
2017-09-06,3350
2017-06-13,2600
2017-06-14,2600
2017-06-15,2600
2017-06-23,2800
2017-06-24,2800
2017-01-07,3400
2017-02-07,3000
2017-03-07,3500
2017-04-07,3800
2017-07-07,3200
2017-08-07,3000
2017-09-07,3350
2017-07-13,3200
2017-07-14,3000
2017-07-15,3000
2017-07-17,3000
2017-07-18,3000
2017-07-19,3000
2017-07-20,3000
2017-07-21,3000
2017-07-22,3000
2017-07-24,3000
2017-07-25,3000
2017-07-26,3000
2017-07-27,3000
2017-07-28,3000
2017-07-29,3000
2017-07-31,3000
2017-02-08,3000
2017-03-08,3500
2017-05-08,3400
2017-08-08,3300
2017-09-08,3350
2017-08-14,3300
2017-08-16,3300
2017-08-17,3300
2017-08-18,3300
2017-08-19,3300
2017-08-21,3300
2017-08-22,3300
2017-08-23,3300
2017-08-24,3300
2017-08-26,3300
2017-08-29,3300
2017-08-30,3300
2017-08-31,3300
2017-01-09,3400
2017-02-09,3000
2017-03-09,3500
2017-05-09,3400
2017-06-09,2600
2017-08-09,3300
2017-09-13,3350
2017-09-14,3350
2017-09-15,3350
2017-09-16,3000
2017-01-10,3400
2017-02-10,3200
2017-07-10,3200
2017-08-10,3300
2017-01-11,3400
2017-07-11,3200
2017-08-11,3300
2017-09-11,3350
2017-01-12,3400
2017-04-12,3800
2017-06-12,2600
2017-07-12,3200
2017-09-12,3350
2018-01-01,2800
2018-02-01,2800
2018-03-01,2800
2018-04-01,2800
2018-05-01,2800
2018-06-01,2800
2018-09-01,2800
2018-10-01,2800
2018-11-01,2800
2018-12-01,2800
2018-01-16,2800
2018-01-17,2800
2018-01-18,2800
2018-01-19,2800
2018-01-20,2800
2018-01-22,2800
2018-01-23,2800
2018-01-24,2800
2018-01-27,2800
2018-01-30,2800
2018-01-31,2800
2018-01-02,2800
2018-02-02,2800
2018-03-02,2800
2018-05-02,2800
2018-07-02,2800
2018-08-02,2800
2018-09-02,2800
2018-12-02,2800
2018-02-14,2800
2018-02-15,2000
2018-02-16,2000
2018-02-17,2000
2018-02-19,2000
2018-02-20,2000
2018-02-21,2000
2018-02-22,2000
2018-02-23,2000
2018-02-24,2000
2018-02-26,2000
2018-02-27,2000
2018-02-28,2000
2018-01-03,2000
2018-02-03,2300
2018-03-03,2300
2018-05-03,2300
2018-06-03,2300
2018-07-03,2300
2018-08-03,2300
2018-09-03,2300
2018-12-03,2300
2018-03-13,2300
2018-03-14,2300
2018-03-15,2300
2018-03-16,2300
2018-03-17,2300
2018-03-19,2300
2018-03-20,2300
2018-03-22,2300
2018-03-23,2300
2018-03-24,2300
2018-03-26,2300
2018-03-27,2300
2018-03-28,2300
2018-03-31,2300
2018-02-04,2300
2018-03-04,2300
2018-04-04,2300
2018-05-04,2300
2018-06-04,2300
2018-07-04,2400
2018-09-04,2400
2018-10-04,2400
2018-11-04,2400
2018-12-04,2400
2018-04-16,2400
2018-04-17,2400
2018-04-19,2400
2018-04-26,3000
2018-04-27,3000
2018-04-28,3000
2018-04-30,3000
2018-03-05,3000
2018-04-05,3000
2018-05-05,3000
2018-07-05,3000
2018-08-05,3000
2018-09-05,3000
2018-10-05,3000
2018-11-05,3000
2018-05-15,3000
2018-05-16,3000
2018-05-17,3000
2018-05-18,3000
2018-05-19,3000
2018-05-21,3000
2018-05-22,3000
2018-05-23,3000
2018-05-24,3000
2018-05-25,3000
2018-05-26,3000
2018-05-28,3000
2018-05-29,3000
2018-05-30,3000
2018-05-31,3000
2018-01-06,3000
2018-02-06,3000
2018-04-06,3000
2018-05-06,3000
2018-06-06,3000
2018-07-06,3000
2018-08-06,3000
2018-11-06,3000
2018-12-06,3000
2018-06-13,3000
2018-06-14,3000
2018-06-15,3000
2018-06-18,3000
2018-06-19,3000
2018-06-20,3000
2018-06-21,3000
2018-06-22,3000
2018-06-23,3000
2018-06-25,3000
2018-06-27,3000
2018-06-28,3000
2018-06-29,3000
2018-06-30,3000
2018-02-07,3000
2018-03-07,3000
2018-04-07,3000
2018-05-07,3000
2018-06-07,3000
2018-07-07,3000
2018-09-07,3000
2018-10-07,3000
2018-12-07,3000
2018-07-13,3000
2018-07-16,3000
2018-07-17,3000
2018-07-18,3000
2018-07-19,3000
2018-07-20,3000
2018-07-21,3000
2018-07-23,3000
2018-07-24,3000
2018-07-25,3000
2018-07-26,3000
2018-07-27,3000
2018-07-28,3000
2018-07-30,3000
2018-07-31,3000
2018-01-08,3000
2018-02-08,3000
2018-03-08,3000
2018-04-08,3000
2018-06-08,2600
2018-07-08,2600
2018-08-08,2600
2018-09-08,2600
2018-10-08,2600
2018-08-13,2600
2018-08-14,2600
2018-08-16,2600
2018-08-18,2600
2018-08-20,2600
2018-08-21,2600
2018-08-23,2600
2018-08-24,2600
2018-08-25,2600
2018-08-27,2600
2018-08-28,2600
2018-08-29,2600
2018-08-30,2800
2018-01-09,2800
2018-03-09,2800
2018-04-09,2800
2018-05-09,2800
2018-06-09,2800
2018-07-09,2800
2018-10-09,2800
2018-11-09,2800
2018-12-09,2800
2018-09-14,2800
2018-09-15,2800
2018-09-17,2800
2018-09-18,2800
2018-09-19,2800
2018-09-20,2800
2018-09-22,2800
2018-09-24,2800
2018-09-25,2800
2018-09-26,2800
2018-09-27,2800
2018-09-28,2800
2018-09-29,2800
2018-01-10,2800
2018-03-10,2800
2018-04-10,2800
2018-05-10,2800
2018-06-10,2800
2018-09-10,2800
2018-10-10,2800
2018-11-10,2800
2018-12-10,2800
2018-10-15,2800
2018-10-16,2800
2018-10-17,2800
2018-10-20,2800
2018-10-22,2800
2018-10-23,2800
2018-10-25,2800
2018-10-26,2800
2018-10-27,2800
2018-10-29,2800
2018-10-30,2800
2018-10-31,2800
2018-02-11,2800
2018-03-11,2800
2018-05-11,2800
2018-07-11,2800
2018-09-11,2800
2018-11-13,2800
2018-11-14,2800
2018-11-15,2800
2018-11-16,2800
2018-11-17,2800
2018-11-19,2800
2018-11-20,2800
2018-11-22,2800
2018-11-23,2800
2018-11-24,2800
2018-11-27,2800
2018-11-28,2800
2018-11-29,2800
2018-11-30,2800
2018-01-12,2800
2018-03-12,2800
2018-04-12,2800
2018-05-12,2800
2018-06-12,2800
2018-07-12,2800
2018-10-12,2800
2018-11-12,2800
2018-12-12,2800
2018-12-13,2800
2018-12-14,2800
2018-12-15,2800
2018-12-17,2800
2018-12-18,2800
2018-12-19,2800
2018-12-20,2800
2018-12-21,2800
2018-12-22,2800
2018-12-24,2800
2018-12-26,2800
2018-12-27,2800
2018-12-28,2800
2018-12-29,2800
2019-01-01,2800
2019-03-01,2800
2019-04-01,2800
2019-06-01,3100
2019-08-01,3100
2019-01-14,2800
2019-01-16,2800
2019-01-17,2800
2019-01-18,2800
2019-01-19,2800
2019-01-21,2800
2019-01-23,2800
2019-01-24,2800
2019-01-25,2800
2019-01-28,2800
2019-01-29,2800
2019-01-30,2800
2019-01-31,2800
2019-01-02,2800
2019-02-02,2800
2019-03-02,2500
2019-04-02,2800
2019-05-02,2800
2019-08-02,3100
2019-02-13,2800
2019-02-14,2800
2019-02-15,2800
2019-02-16,2800
2019-02-18,2800
2019-02-19,2800
2019-02-20,2800
2019-02-21,2800
2019-02-22,2800
2019-02-23,2800
2019-02-25,2800
2019-02-26,2800
2019-02-27,2800
2019-02-28,2800
2019-01-03,2800
2019-04-03,2800
2019-05-03,2800
2019-06-03,3100
2019-08-03,3100
2019-03-13,2500
2019-03-14,2500
2019-03-15,2500
2019-03-16,2500
2019-03-18,2500
2019-03-19,2500
2019-03-20,2500
2019-03-21,2500
2019-03-22,2500
2019-03-25,2800
2019-03-26,2800
2019-03-27,2800
2019-03-28,2800
2019-03-29,2800
2019-03-30,2800
2019-01-04,2800
2019-04-04,2800
2019-05-04,2800
2019-06-04,3100
2019-04-15,2800
2019-04-16,2800
2019-04-20,2800
2019-04-22,2800
2019-04-23,2800
2019-04-24,2800
2019-04-25,2800
2019-04-26,2800
2019-04-27,2800
2019-04-29,2800
2019-04-30,2800
2019-01-05,2800
2019-03-05,2500
2019-04-05,2800
2019-08-05,3100
2019-05-13,2800
2019-05-14,2800
2019-05-15,2800
2019-05-16,2800
2019-05-17,2800
2019-05-18,3100
2019-05-20,3100
2019-05-21,3100
2019-05-22,3100
2019-05-23,3100
2019-05-24,3100
2019-05-25,3100
2019-05-27,3100
2019-05-28,3100
2019-05-29,3100
2019-05-30,3100
2019-05-31,3100
2019-03-06,2500
2019-05-06,2800
2019-06-06,3100
2019-08-06,3100
2019-06-13,3100
2019-06-14,3100
2019-06-15,3100
2019-06-17,3100
2019-06-18,3100
2019-06-19,3100
2019-06-20,3100
2019-06-21,3100
2019-06-24,3100
2019-06-25,3100
2019-01-07,2800
2019-02-07,2800
2019-03-07,2500
2019-06-07,3100
2019-08-07,3100
2019-07-15,3100
2019-07-16,3100
2019-07-17,3100
2019-07-18,3100
2019-07-19,3100
2019-07-20,3100
2019-07-22,3100
2019-07-23,3100
2019-07-24,3100
2019-07-25,3100
2019-07-26,3100
2019-07-29,3100
2019-07-30,3100
2019-07-31,3100
2019-01-08,2800
2019-02-08,2800
2019-03-08,2500
2019-05-08,2800
2019-08-08,3100
2019-01-09,2800
2019-04-09,2800
2019-05-09,2800
2019-01-10,2800
2019-04-10,2800
2019-05-10,2800
2019-06-10,3100
2019-01-11,2800
2019-02-11,2800
2019-03-11,2500
2019-04-11,2800
2019-06-11,3100
2014-02-01,1600
2014-03-01,2000
2014-04-01,1800
2014-07-01,2000
2014-08-01,2100
2014-09-01,2000
2014-01-13,1850
2014-01-16,1850
2014-01-17,1700
2014-01-18,1700
2014-01-20,1700
2014-01-21,1600
2014-01-22,1800
2014-01-23,1800
2014-01-24,1800
2014-01-25,1800
2014-01-27,1800
2014-01-28,1700
2014-01-29,1700
2014-01-30,1600
2014-01-31,1600
2014-04-02,1800
2014-06-02,1500
2014-07-02,2000
2014-08-02,2100
2014-09-02,2000
2014-02-13,1600
2014-02-14,1600
2014-02-15,1600
2014-02-17,1500
2014-02-18,1500
2014-02-19,1500
2014-02-20,1600
2014-02-21,1600
2014-02-22,1600
2014-02-24,1500
2014-02-25,1500
2014-02-26,1600
2014-02-27,1600
2014-02-28,1600
2014-01-03,1800
2014-02-03,1600
2014-03-03,1800
2014-04-03,1800
2014-05-03,1700
2014-06-03,1500
2014-07-03,2000
2014-09-03,2100
2014-11-03,2200
2014-03-13,1700
2014-03-14,1700
2014-03-15,1700
2014-03-17,1700
2014-03-18,1700
2014-03-19,1800
2014-03-20,1700
2014-03-21,1800
2014-03-22,1700
2014-03-24,1700
2014-03-25,1700
2014-03-26,1700
2014-03-27,1800
2014-03-28,1800
2014-03-29,1900
2014-01-04,1800
2014-02-04,1500
2014-03-04,1800
2014-04-04,2000
2014-06-04,1500
2014-07-04,2000
2014-08-04,2100
2014-09-04,2100
2014-04-14,2000
2014-04-15,2000
2014-04-16,1600
2014-04-19,1600
