district,commodity,Arrival Date,variety,Min_price
Mysore,Ragi (Finger Millet),11-02-15,Fine,1900
Mysore,Ragi (Finger Millet),12-02-15,Fine,1900
Mysore,Ragi (Finger Millet),13-02-15,Fine,1700
Mysore,Ragi (Finger Millet),16-02-15,Fine,1700
Mysore,Ragi (Finger Millet),18-02-15,Fine,1700
Mysore,Ragi (Finger Millet),20-02-15,Fine,1800
Mysore,Ragi (Finger Millet),21-02-15,Fine,2000
Mysore,Ragi (Finger Millet),23-02-15,Fine,2000
Mysore,Ragi (Finger Millet),24-02-15,Fine,2000
Mysore,Ragi (Finger Millet),25-02-15,Fine,2000
Mysore,Ragi (Finger Millet),26-02-15,Fine,1900
Mysore,Ragi (Finger Millet),27-02-15,Fine,2000
Mysore,Ragi (Finger Millet),28-02-15,Fine,2000
Mysore,Ragi (Finger Millet),01-03-15,Fine,1900
Mysore,Ragi (Finger Millet),02-03-15,Fine,1800
Mysore,Ragi (Finger Millet),03-03-15,Fine,2000
Mysore,Ragi (Finger Millet),07-03-15,Fine,1900
Mysore,Ragi (Finger Millet),08-03-15,Fine,1900
Mysore,Ragi (Finger Millet),09-03-15,Fine,1800
Mysore,Ragi (Finger Millet),10-03-15,Fine,1800
Mysore,Ragi (Finger Millet),11-03-15,Fine,1900
Mysore,Ragi (Finger Millet),12-03-15,Fine,1900
Mysore,Ragi (Finger Millet),13-03-15,Fine,2100
Mysore,Ragi (Finger Millet),16-03-15,Fine,2100
Mysore,Ragi (Finger Millet),17-03-15,Fine,2000
Mysore,Ragi (Finger Millet),18-03-15,Fine,2000
Mysore,Ragi (Finger Millet),19-03-15,Fine,2100
Mysore,Ragi (Finger Millet),20-03-15,Fine,2100
Mysore,Ragi (Finger Millet),23-03-15,Fine,2100
Mysore,Ragi (Finger Millet),24-03-15,Fine,2100
Mysore,Ragi (Finger Millet),25-03-15,Fine,2100
Mysore,Ragi (Finger Millet),26-03-15,Fine,2100
Mysore,Ragi (Finger Millet),27-03-15,Fine,2100
Mysore,Ragi (Finger Millet),28-03-15,Fine,2100
Mysore,Ragi (Finger Millet),30-03-15,Fine,2100
Mysore,Ragi (Finger Millet),31-03-15,Fine,2100
Mysore,Ragi (Finger Millet),02-04-15,Fine,1800
Mysore,Ragi (Finger Millet),03-04-15,Fine,2100
Mysore,Ragi (Finger Millet),04-04-15,Fine,2100
Mysore,Ragi (Finger Millet),07-04-15,Fine,1900
Mysore,Ragi (Finger Millet),08-04-15,Fine,1900
Mysore,Ragi (Finger Millet),09-04-15,Fine,1800
Mysore,Ragi (Finger Millet),11-04-15,Fine,1900
Mysore,Ragi (Finger Millet),12-04-15,Fine,1900
Mysore,Ragi (Finger Millet),13-04-15,Fine,2000
Mysore,Ragi (Finger Millet),15-04-15,Fine,2000
Mysore,Ragi (Finger Millet),16-04-15,Fine,2000
Mysore,Ragi (Finger Millet),17-04-15,Fine,2000
Mysore,Ragi (Finger Millet),18-04-15,Fine,2000
Mysore,Ragi (Finger Millet),20-04-15,Fine,2000
Mysore,Ragi (Finger Millet),22-04-15,Fine,1900
Mysore,Ragi (Finger Millet),23-04-15,Fine,1900
Mysore,Ragi (Finger Millet),24-04-15,Fine,1900
Mysore,Ragi (Finger Millet),25-04-15,Fine,1900
Mysore,Ragi (Finger Millet),27-04-15,Fine,1950
Mysore,Ragi (Finger Millet),28-04-15,Fine,1950
Mysore,Ragi (Finger Millet),29-04-15,Fine,1900
Mysore,Ragi (Finger Millet),30-04-15,Fine,1900
Mysore,Ragi (Finger Millet),01-05-15,Fine,1900
Mysore,Ragi (Finger Millet),02-05-15,Fine,1800
Mysore,Ragi (Finger Millet),03-05-15,Fine,2100
Mysore,Ragi (Finger Millet),05-05-15,Fine,1900
Mysore,Ragi (Finger Millet),06-05-15,Fine,1900
Mysore,Ragi (Finger Millet),08-05-15,Fine,1900
Mysore,Ragi (Finger Millet),09-05-15,Fine,1800
Mysore,Ragi (Finger Millet),10-05-15,Fine,1800
Mysore,Ragi (Finger Millet),11-05-15,Fine,1900
Mysore,Ragi (Finger Millet),12-05-15,Fine,1900
Mysore,Ragi (Finger Millet),13-05-15,Fine,1800
Mysore,Ragi (Finger Millet),14-05-15,Fine,1800
Mysore,Ragi (Finger Millet),15-05-15,Fine,1850
Mysore,Ragi (Finger Millet),16-05-15,Fine,1850
Mysore,Ragi (Finger Millet),18-05-15,Fine,1850
Mysore,Ragi (Finger Millet),19-05-15,Fine,1900
Mysore,Ragi (Finger Millet),20-05-15,Fine,1900
Mysore,Ragi (Finger Millet),21-05-15,Fine,1900
Mysore,Ragi (Finger Millet),22-05-15,Fine,1900
Mysore,Ragi (Finger Millet),23-05-15,Fine,1800
Mysore,Ragi (Finger Millet),25-05-15,Fine,1800
Mysore,Ragi (Finger Millet),26-05-15,Fine,1800
Mysore,Ragi (Finger Millet),27-05-15,Fine,1800
Mysore,Ragi (Finger Millet),28-05-15,Fine,1800
Mysore,Ragi (Finger Millet),29-05-15,Fine,1900
Mysore,Ragi (Finger Millet),30-05-15,Fine,1900
Mysore,Ragi (Finger Millet),01-06-15,Fine,1900
Mysore,Ragi (Finger Millet),02-06-15,Fine,1600
Mysore,Ragi (Finger Millet),03-06-15,Fine,2000
